@relation slike

@attribute id string
@attribute link string
@attribute title string
@attribute tags string
@attribute cluster string

@data
28081005846,https://farm8.staticflickr.com/7295/28081005846_717cc3ec89_q.jpg,'Cat Scratch Fever Custom Dunny','jenn and tony bot#the bots#jenn bot#tony bot#kawaii#cute#vinyl toy#custom toy#polymer clay#kidrobot#dunny#monster#creature','Klaster 1'
27499460634,https://farm8.staticflickr.com/7420/27499460634_010d24a808_q.jpg,'Lazy Cat',lazy,'Klaster 1'
27831078560,https://farm8.staticflickr.com/7453/27831078560_213676f813_q.jpg,Kittens!,kittens#baby,'Klaster 1'
28111083155,https://farm8.staticflickr.com/7432/28111083155_d9c351dc57_q.jpg,Kittens!,kittens#baby,'Klaster 1'
28008674932,https://farm8.staticflickr.com/7346/28008674932_48b22317c4_q.jpg,Kittens!,kittens#baby,'Klaster 1'
27831046850,https://farm8.staticflickr.com/7237/27831046850_442f0f46ce_q.jpg,Kittens!,'kittens#baby#play#playing#kitten playing#kittens playing','Klaster 1'
28111007165,https://farm8.staticflickr.com/7305/28111007165_719469bb42_q.jpg,'Neko Helmet aka Cat',Neko#Helmet#aka#Cat#Badass#Motorcycle#Store#Biker#stuff#Motorcycles,'Klaster 2'
27496074093,https://farm8.staticflickr.com/7402/27496074093_4764e7b966_q.jpg,'Cat in a bag!',Interrobang#bag#IKEA,'Klaster 1'
28031765151,https://farm8.staticflickr.com/7369/28031765151_c39b54024a_q.jpg,'a man and his cat... it\'s a beautiful thing','nick fury#mcu','Klaster 1'
28031464151,https://farm8.staticflickr.com/7294/28031464151_42cd395a4a_q.jpg,'a man and his cat... it\'s a beautiful thing','nick fury#mcu','Klaster 1'
28072824906,https://farm8.staticflickr.com/7425/28072824906_617d89413a_q.jpg,'Tabby Cat','farm animals#tabby','Klaster 1'
28028824901,https://farm8.staticflickr.com/7319/28028824901_c7f34f1e46_q.jpg,'Cat by BOTERO 3D',Cat#BOTERO#3D#Kunsthal#Rotterdam#anaglyph#stereo#red/cyan,'Klaster 1'
28105110285,https://farm8.staticflickr.com/7409/28105110285_b6c3fb3050_q.jpg,'cat #1332',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
28105017445,https://farm8.staticflickr.com/7110/28105017445_f32748df95_q.jpg,'cat #1331',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#??,'Klaster 3'
28070935156,https://farm8.staticflickr.com/7404/28070935156_55ca50366e_q.jpg,'cat #1330',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
28070925436,https://farm8.staticflickr.com/7581/28070925436_60763b140b_q.jpg,'cat #1329',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
28070908286,https://farm8.staticflickr.com/7278/28070908286_896157670b_q.jpg,'cat #1328',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#??,'Klaster 3'
28070655186,https://farm8.staticflickr.com/7568/28070655186_965526139b_q.jpg,'A @degats ?#Barcelona #bcn #cats #gats #lovecats #cute #cat #catlover',bcn#cute#Barcelona#gats,'Klaster 1'
27489767493,https://farm8.staticflickr.com/7359/27489767493_a7dec79ce5_q.jpg,'Today\'s Cat@2016-07-05',PENTAX#MX-1,'Klaster 1'
27490019014,https://farm8.staticflickr.com/7404/27490019014_db1c1cfc13_q.jpg,'Stray cat',animal,'Klaster 1'
28053671396,https://farm8.staticflickr.com/7352/28053671396_b74204aeaa_q.jpg,'Neko Helmet aka Cat',Neko#Helmet#aka#Cat#Badass#Motorcycle#Store#Biker#stuff#Motorcycles,'Klaster 2'
27979361372,https://farm8.staticflickr.com/7786/27979361372_6dac0845b9_q.jpg,'cat #1327',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
27979330032,https://farm8.staticflickr.com/7290/27979330032_01e053e01f_q.jpg,'cat #1326',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
28047764596,https://farm8.staticflickr.com/7344/28047764596_22e0b9e66b_q.jpg,'cat #1325',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
28080625465,https://farm8.staticflickr.com/7366/28080625465_e9a4b71058_q.jpg,'Today\'s Cat@2016-07-04',PENTAX#MX-1,'Klaster 1'
27976606342,https://farm8.staticflickr.com/7390/27976606342_2f773c0ae0_q.jpg,Cat,animal#djur#katt,'Klaster 1'
27975232722,https://farm8.staticflickr.com/7615/27975232722_f703a09961_q.jpg,'CAT 115: Wait',tiger#m4/3#mirrorless#Thailand#Animal#Bangkok#Olympus#Kitten#Kitty#Chair#Ongushi#Ongie,'Klaster 1'
27966214292,https://farm8.staticflickr.com/7538/27966214292_08b7884c9b_q.jpg,'moar kittehs',kat#katze#katt#chat,'Klaster 1'
28034946516,https://farm8.staticflickr.com/7537/28034946516_56a906caf7_q.jpg,'moar kittehs',kat#katze#katt#chat,'Klaster 1'
27450355733,https://farm8.staticflickr.com/7519/27450355733_dd8cd2aa76_q.jpg,'Neko Helmet aka Cat',Neko#Helmet#aka#Cat#Badass#Motorcycle#Store#Biker#stuff#Motorcycles,'Klaster 2'
28062152095,https://farm8.staticflickr.com/7358/28062152095_0b8f819d63_q.jpg,'Cat Bokeh',Cat#Bokeh,'Klaster 1'
27984880071,https://farm8.staticflickr.com/7419/27984880071_583e0dd069_q.jpg,'basket of cat',2016#basket#chicago#illinois,'Klaster 1'
27780254790,https://farm8.staticflickr.com/7422/27780254790_603ab7d47c_q.jpg,'Half a Cat','A7#Sony A7#Sony A7 with manual focus lens#Nikkor Lens#Nikkor#Micro-Nikkor#B&W#black & white#black and white#Nikon lens on Sony A7#Manual focus lens on DSLR#adapter#Lens Adapter','Klaster 1'
27980845471,https://farm8.staticflickr.com/7708/27980845471_279f0e54f5_q.jpg,'cat #1324',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
27443181643,https://farm8.staticflickr.com/7433/27443181643_4a7965aeaa_q.jpg,'Today\'s Cat@2016-07-03',PENTAX#MX-1,'Klaster 1'
27979799501,https://farm8.staticflickr.com/7605/27979799501_0478dc49d4_q.jpg,'Park Cat',David#Cathryn#Cat#DadM,'Klaster 1'
27776428390,https://farm8.staticflickr.com/7416/27776428390_9facc5342a_q.jpg,'Park Cat',David#Cathryn#Cat#DadM,'Klaster 1'
27443147133,https://farm8.staticflickr.com/7494/27443147133_ee44e543a1_q.jpg,'Park Cat',David#Cathryn#Cat#DadM,'Klaster 1'
